year fp_year fp_doy Np Tp Alpha_ratio Vp V_gsm_x V_gsm_y V_gsm_z B_gsm_x B_gsm_y B_gsm_z 
BEGIN DATA
2005 2005.05211993  20.023773      0.464  2.2212e+05     0.1448    710.01   -703.69    -65.84     68.84   -6.318    3.365    1.387
2005 2005.05212196  20.024514      0.392  1.8029e+05     0.1175    700.85   -691.95    -76.14     82.31   -6.262    3.229    1.914
2005 2005.05212399  20.025255      0.331  1.9946e+05     0.1433    692.93   -683.89    -85.49     72.81   -6.391    3.170    1.984
2005 2005.05212602  20.025996      0.345  1.9190e+05     0.1320    696.05   -686.57    -90.77     70.81   -6.396    3.162    1.986
2005 2005.05212804  20.026736      0.348  2.2344e+05     0.1204    694.50   -685.02    -91.67     69.42   -6.330    3.189    2.026
2005 2005.05213007  20.027477      0.332  2.4075e+05     0.1289    696.31   -685.69    -97.06     73.64   -6.381    3.202    1.788
2005 2005.05213210  20.028218      0.344  2.0341e+05     0.1332    695.99   -685.09    -91.36     83.05   -6.389    3.219    1.335
2005 2005.05213413  20.028959      0.425  1.2451e+05     0.1691    691.10   -679.17    -95.86     85.75   -6.357    2.794    2.139
2005 2005.05213616  20.029699  -9999.900 -9.9999e+03 -9999.9004  -9999.90  -9999.90  -9999.90  -9999.90   -6.437    2.872    1.763
2005 2005.05213819  20.030440      0.392  1.0844e+05     0.1337    692.78   -681.99    -94.37     78.19   -6.368    2.793    2.004
2005 2005.05214022  20.031181      0.330  1.3678e+05     0.1564    700.15   -690.39    -95.81     67.44   -6.401    3.037    1.487
2005 2005.05214225  20.031921      0.303  2.6008e+05     0.1798    701.11   -689.22    -93.11     89.93   -6.423    3.187    0.675
2005 2005.05214428  20.032662      0.389  1.7789e+05     0.1407    697.10   -685.08    -94.99     88.40   -6.385    3.237    0.380
2005 2005.05214631  20.033403      0.310  2.2585e+05     0.1394    701.61   -688.72   -101.01     89.07   -6.385    3.132    0.945
2005 2005.05214834  20.034144      0.326  1.6198e+05     0.0962    705.13   -693.86    -93.93     84.62   -6.374    2.979    1.353
2005 2005.05215037  20.034884      0.325  2.1074e+05     0.1241    696.53   -685.00    -96.21     82.94   -6.364    2.773    1.156
2005 2005.05215240  20.035625      0.308  1.8760e+05     0.0862    701.77   -691.37    -92.45     78.36   -6.302    2.875    0.998
2005 2005.05215443  20.036366      0.288  1.9558e+05     0.1413    703.16   -691.65    -91.94     88.54   -6.223    2.851    1.150
2005 2005.05215646  20.037107      0.280  1.8214e+05     0.1696    703.73   -692.87    -89.23     86.17   -6.029    3.160    1.296
2005 2005.05215848  20.037847      0.300  2.2202e+05     0.1390    697.31   -687.08    -90.49     78.52   -5.955    3.150    1.530
2005 2005.05216052  20.038588      0.214  2.2840e+05 -9999.9004    715.64   -704.54    -84.17     94.51   -6.128    3.010    0.995
2005 2005.05216255  20.039329      0.259  1.3878e+05     0.1640    712.93   -701.66    -89.07     90.82   -5.865    3.303    1.731
2005 2005.05216458  20.040070      0.282  1.0334e+05     0.2015    706.43   -695.34    -93.85     83.45   -5.921    3.116    1.872
2005 2005.05216660  20.040810      0.246  1.0044e+05     0.1268    705.57   -694.70    -85.55     90.28   -5.952    3.381    1.641
2005 2005.05216863  20.041551      0.260  8.1790e+04     0.1084    709.42   -698.24    -86.23     92.59   -5.862    3.369    1.705
2005 2005.05217066  20.042292      0.237  8.4012e+04     0.1298    707.59   -696.83    -90.27     84.82   -5.945    3.276    1.703
2005 2005.05217269  20.043033      0.242  7.8547e+04     0.1431    707.60   -696.03    -92.60     89.01   -5.828    3.345    1.728
2005 2005.05217472  20.043773      0.259  8.6009e+04     0.1226    701.80   -690.63    -94.16     83.22   -5.724    3.461    1.950
2005 2005.05217675  20.044514      0.236  6.8023e+04     0.1121    704.58   -693.11    -90.85     89.64   -5.585    3.540    2.095
2005 2005.05217878  20.045255      0.270  9.2601e+04 -9999.9004    702.71   -691.24    -85.42     94.79   -5.692    3.305    2.081
2005 2005.05218081  20.045996      0.235  1.2149e+05     0.1328    699.04   -686.36    -84.27    103.84   -5.892    2.901    1.817
2005 2005.05218284  20.046736      0.263  9.9663e+04     0.1273    695.32   -682.93    -75.42    108.25   -5.863    3.045    1.822
2005 2005.05218487  20.047477      0.238  9.5920e+04     0.1368    701.44   -689.29    -80.80    103.43   -5.873    3.065    1.811
